car,price,link
Kia Forte,"26,800",https://www.carlist.my/used-cars/2012-kia-forte-1-6-sx-sedan/7801256
Proton Exora,"28,800",https://www.carlist.my/used-cars/2013-proton-exora-1-6-prime-cfe-premium-mpv/7131333
Honda Civic,"63,800",https://www.carlist.my/used-cars/2016-honda-civic-1-8-s-i-vtec-sedan/7546663
Nissan Grand Livina,"44,800",https://www.carlist.my/used-cars/2014-nissan-grand-livina-1-6-comfort-mpv/7131363
,"128,000",https://www.carlist.my/recon-cars/2016-mini-5-door-1-5-cooper-twin-power-turbo-edition-led-headlights-japan-spec-unreg/7703369
Toyota Alphard,"139,888",https://www.carlist.my/used-cars/2014-toyota-alphard-3-5-g-mpv-full-spec-import-baru-under-warranty-low-mileage-1-carefull-owner-original-paint-nice-number-plate/7793524
Honda Civic,"57,900",https://www.carlist.my/used-cars/honda-civic-2-0-s-i-vtec-se-modulo-s-facelift-a-1-owner/7537611
Mercedes-Benz E250 CGI,"74,900",https://www.carlist.my/used-cars/mercedes-benz-e250-cgi-1-8-avantgarde-a-push-start-sunroof-warranty/7195175
,"58,900",https://www.carlist.my/used-cars/mercedes-benz-c200-cgi-1-8-avantgarde-a-facelift-local-1-own/7057489
Toyota Vellfire,"182,999",https://www.carlist.my/recon-cars/2016-toyota-vellfire-2-5-z-8-setas-mpv/7647638
Mercedes-Benz A250,"145,900",https://www.carlist.my/used-cars/2017-mercedes-benz-a250-2-0-amg-facelift-full-spec/7854565
BMW 523i,"93,900",https://www.carlist.my/used-cars/2012-bmw-523i-2-0-m-sport-f10-a-facelift-full-spec/7864853
Mercedes-Benz C200,"145,900",https://www.carlist.my/used-cars/2016-mercedes-benz-c200-2-0-amg-w205-a-full-spec/7872911
,"157,900",https://www.carlist.my/used-cars/2012-porsche-cayenne-4-8-gts-a/7818296
BMW 325i,"49,999",https://www.carlist.my/used-cars/2011-bmw-325i-2-5-sports-lci-model-sport-prefomer-car-free-6-month-warranty/7577308
Subaru BRZ,"155,000",https://www.carlist.my/recon-cars/2016-subaru-brz-2-0-coupe/7865564
Toyota Vellfire,"133,888",https://www.carlist.my/used-cars/2013-toyota-vellfire-3-5-v-l-edition-mpv-under-warranty-1-owner-original-paint-7-years-loan-available/7770830
Proton Exora,"33,800",https://www.carlist.my/used-cars/true-year-made-2015-proton-exora-1-6-turbo-premium-bolt-a-full-leather-seat-and-come-with-one-year-warranty-inspection-certified-report/7897487
Mercedes-Benz B200,"95,888",https://www.carlist.my/used-cars/2015-mercedes-benz-b200-1-6-sport-tourer-hatchback-new-facelift-50k-mileage-full-service-record/7800391
,"79,888",https://www.carlist.my/used-cars/2013-mercedes-benz-c200-cgi-1-8-avantgarde-sedan/7833615
Land Rover Range Rover Evoque,"149,888",https://www.carlist.my/used-cars/2014-land-rover-range-rover-evoque-2-0-si4-dynamic-plus-9-speed-surround-camera-full-service-record-2015/7242973
BMW 330i,"169,888",https://www.carlist.my/used-cars/2016-bmw-330i-2-0-m-sport-full-service-record-f30-lci-2015-2017/7801451
Toyota Vios,"34,800",https://www.carlist.my/used-cars/2012-toyota-vios-1-5-e-a-6-months-warranty/7235468
,"95,900",https://www.carlist.my/used-cars/2015-bmw-220i-2-0-gran-tourer-mpv-one-owner-accident-free-full-service-record/7837362
Volkswagen Golf,"109,800",https://www.carlist.my/used-cars/true-year-made-2013-volkswagen-golf-mk7-2-0-gti-call-for-promo-price-and-come-with-one-year-warranty-inspection-certified-report/7730247
Mercedes-Benz E250 CGI,"84,999",https://www.carlist.my/used-cars/2013-mercedes-benz-e250-cgi-1-8-avantgarde-sedan-local-spec-7g-transmission-sunroof-power-boot-call-now/7893611
BMW 523i,"68,899",https://www.carlist.my/used-cars/2011-bmw-523i-2-5-sedan-true-year-made/7828406
,"146,800",https://www.carlist.my/used-cars/2014-bmw-740li-3-0-m-sport-sedan-2-years-warranty-vvip-owner/7814599
Mercedes-Benz E350,"339,000",https://www.carlist.my/recon-cars/2019-mercedes-benz-e350-2-0-coupe-amg-line-299hp-fully-loaded-unreg/7801106
Mercedes-Benz E300,"355,000",https://www.carlist.my/recon-cars/2019-mercedes-benz-e300-2-0-coupe-amg-a-one-year-warranty-ready-stock/7390477
Toyota Fortuner,"69,900",https://www.carlist.my/used-cars/toyota-fortuner-2-7-v-facelift-a-enhanced-1-owner-sale/7424055
Perodua Alza,"26,800",https://www.carlist.my/used-cars/2011-perodua-alza-1-5-ezi-a-6-months-warranty/7684479
Mazda 3,"29,800",https://www.carlist.my/used-cars/2011-mazda-3-2-0-gl-sedan-a-free-warranty-1-owner-full-service-mega-clearance/7869752
Volkswagen Scirocco,"66,800",https://www.carlist.my/used-cars/2011-volkswagen-scirocco-2-0-a-tsi-abt-sport-hatchback-1-owner-full-service-mega-clearance/7096721
